timestamp,action,code,actor,app_key,company_id,details
2026-07-04 18:46:09.943000,create_code,CMP-260704184609-6421,desktop_admin,company,COMP-001,create
2026-07-04 18:46:27.865000,create_code,CMP-260704184627-4816,desktop_admin,company,COMP-001,create
2026-07-04 18:46:37.169000,create_code,CMP-260704184635-1088,desktop_admin,company,COMP-001,create
2026-07-04 18:47:25.295000,create_code,CMP-260704184724-6391,desktop_admin,company,COMP-001,create
2026-07-04 18:49:22.784000,create_code,CMP-260704184724-6591,desktop_admin,company,2025.0,create
2026-07-06 00:00:17.364000,disable_code,CMP-260704184724-6591,desktop_admin,company,2025.0,disabled
2026-07-07 23:47:06.825000,unbind_device,CMP-260704184539-4242,desktop_admin,company,COMP-001,unbind
2026-07-10 20:31:46.690000,disable_code,CMP-260704184539-4242,desktop_admin,company,COMP-001,disabled
2026-07-10 20:32:17.018000,unbind_device,CMP-260704184539-4242,desktop_admin,company,COMP-001,unbind
2026-07-10 20:33:14.562000,disable_code,CMP-260704184539-4242,desktop_admin,company,COMP-001,disabled
2026-07-10 20:33:15.063000,disable_code,CMP-260704184539-4242,desktop_admin,company,COMP-001,disabled
2026-07-10 20:33:15.726000,disable_code,CMP-260704184539-4242,desktop_admin,company,COMP-001,disabled
2026-07-10 20:35:05.984000,unbind_device,CMP-260704184539-4242,desktop_admin,company,COMP-001,unbind
2026-07-10 21:29:08.530000,disable_code,CMP-260704184539-4242,desktop_admin,company,COMP-001,disabled
2026-07-10 21:29:55.434000,unbind_device,CMP-260704184539-4242,desktop_admin,company,COMP-001,unbind
2026-07-10 22:11:44.180000,unbind_device,CMP-260704184539-4242,desktop_admin,company,COMP-001,unbind
2026-07-16 17:50:02.463000,create_code,260704184609.0,desktop_admin,company,1257.0,create
2026-07-16 17:51:52.006000,create_code,CMP-260704187039-4242,desktop_admin,company,1980.0,create
2026-07-16 18:07:36.714000,company_app_open,260704184609.0,Manager Smoke,company,1257.0,event=app_open | device=deskto...rtbeat | version=1.0.5 | reported_manager=Manager Smoke
2026-07-16 18:57:46.960000,update_scope,260704184609.0,desktop_admin,company,1257.0,"package=, maxDevices=1"
2026-07-16 18:58:15.146000,unbind_device,260704184609.0,desktop_admin,company,1257.0,unbind
2026-07-16 19:03:04.705000,create_code,CMP-260704198039-4242,desktop_admin,company,COMP-002,create
2026-07-16 19:03:36.562000,update_scope,CMP-260704198039-4242,desktop_admin,company,COMP-002,"package=, maxDevices=1"
2026-07-16 19:04:10.876000,unbind_device,CMP-260704198039-4242,desktop_admin,company,COMP-002,unbind
2026-07-16 19:09:09.804000,create_code,CMP-260716190907-5419,desktop_admin,company,COMP-002,create
2026-07-16 19:26:29.266000,create_code,CMP-260716192627-2951,desktop_admin,company,COMP-002,create
2026-07-16 19:46:09.719000,update_scope,CMP-260716190907-5419,desktop_admin,company,COMP-001,"package=, maxDevices=1"
2026-07-16 19:46:16.874000,unbind_device,CMP-260716190907-5419,desktop_admin,company,COMP-001,unbind
2026-07-16 19:46:50.936000,unbind_device,CMP-260716190907-5419,desktop_admin,company,COMP-001,unbind
2026-08-04 21:51:25.711000,create_code,CMP-260704184627-4785,desktop_admin,company,COMP-001,create
2026-08-04 21:52:11.853000,create_code,CMP-260716192627-2589,desktop_admin,company,COMP-001,create
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
